screen_name,count,type,state,party
kloeffler,1417,,,
transport,1404,,,
bradyfortexas,1403,,,
homelandgop,1392,,,
sendeanheller,1381,,,
houseagdems,1380,,,
repschakowsky,1380,,,
tomemmer,1375,,,
darrensoto,1374,,,
mikelevin,1371,,,
duffy4wisconsin,1367,,,
vachair,1366,,,
elaineluriava,1364,,,
republicanstudy,1357,,,
jim_banks,1353,,,
jontester,1347,,,
rulesdemocrats,1334,,,
bencardinformd,1330,,,
marthamcsally,1328,,,
rephanabusa,1328,,,
devinnunes,1317,,,
team_mitch,1302,,,
repjimrenacci,1296,,,
hfacdemocrats,1295,,,
hascdemocrats,1289,,,
edlaborgop,1288,,,
congressmanruiz,1278,,,
senatemajldr,1276,,,
repkatiehill,1269,,,
mikelevinca,1262,,,
hascrepublicans,1257,,,
seec,1256,,,
mccaulfortexas,1248,,,
barbaracomstock,1237,,,
leezeldin,1235,,,
repmimiwalters,1231,,,
nikiinthehouse,1222,,,
reperikpaulsen,1217,,,
standwithraul,1215,,,
johnlarsonct,1195,,,
donbeyerva,1186,,,
smallbizcmte,1185,,,
senfinance,1181,,,
teamsheaporter,1175,,,
mccaskilloffice,1173,,,
reploubarletta,1167,,,
billhuizenga,1155,,,
repdavidyoung,1153,,,
coopforcongress,1140,,,
jdanbishop,1140,,,
reptenney,1138,,,
repkristinoem,1136,,,
congculberson,1130,,,
senfranken,1105,,,
senatecommerce,1098,,,
alanlowenthal,1079,,,
rulesreps,1078,,,
heidiheitkamp,1077,,,
clairecmc,1077,,,
teampappasnh,1076,,,
senatemajldr,1067,,,
pearce4nm,1066,,,
marygayscanlon,1062,,,
davereichert,1058,,,
docabraham,1056,,,
ellisoncampaign,1041,,,
chuyforcongress,1029,,,
jackiespeier,1029,,,
househomeland,1024,,,
joeforindiana,1015,,,
houseadmngop,1012,,,
elizabethforma,1010,,,
joecunninghamsc,1006,,,
reptomgarrett,1005,,,
jaredpolis,1002,,,
abby4iowa,999,,,
nanette4ca,998,,,
michaelgwaltz,989,,,
donald_mceachin,988,,,
joecrowleyny,988,,,
senateagdems,979,,,
colinallredtx,976,,,
repmcsally,974,,,
smurphycongress,973,,,
senatefinance,968,,,
edworkforce,962,,,
wydenpress,961,,,
katiehill4ca,958,,,
senbillnelson,958,,,
reprodblum,954,,,
reelecthank,947,,,
covidoversight,944,,,
lloyddoggetttx,941,,,
petesessions,938,,,
repkevincramer,933,,,
repmikecoffman,933,,,
repchriscollins,926,,,
garypeters,923,,,
vote4cleaver,919,,,
markwarnerva,913,,,
jenniferwexton,912,,,
angiecraigmn,909,,,
repmialove,909,,,
budgetgop,908,,,
replobiondo,906,,,
epwgop,901,,,
bob_casey,894,,,
joeneguse,894,,,
nelsonforsenate,893,,,
larsenrick,892,,,
andybiggs4az,884,,,
liz_cheney,882,,,
susieleenv,882,,,
dougjones,879,,,
houseaggop,877,,,
repdandonovan,875,,,
jeanneshaheen,860,,,
repgoodlatte,857,,,
ryancostello,850,,,
repevanjenkins,849,,,
repwalterjones,841,,,
